Dataset,Aggregation Time,Metric,Lag,Value
Socio-sms graph,3d,Autocorrelation,3,0.07526200480188938
Socio-sms graph,3d,Autocorrelation,4,0.04311865132464416
Socio-sms graph,3d,Autocorrelation,5,0.06182396380276576
Socio-sms graph,3d,Autocorrelation,6,-0.012511263497279976
Socio-sms graph,1h,Weighted Jaccard Similarity,0,1.0
Socio-sms graph,1h,Weighted Jaccard Similarity,1,0.269486277884821
Socio-sms graph,1h,Weighted Jaccard Similarity,2,0.1323390843464714
Socio-sms graph,1h,Weighted Jaccard Similarity,3,0.10812891402131727
Socio-sms graph,1h,Weighted Jaccard Similarity,4,0.07758144509170062
Socio-sms graph,1h,Weighted Jaccard Similarity,5,0.059029481219850605
Socio-sms graph,1h,Weighted Jaccard Similarity,6,0.051295468599850236
Socio-sms graph,1d,Weighted Jaccard Similarity,0,1.0
Socio-sms graph,1d,Weighted Jaccard Similarity,1,0.1560741182185142
Socio-sms graph,1d,Weighted Jaccard Similarity,2,0.11153482356868169
Socio-sms graph,1d,Weighted Jaccard Similarity,3,0.09733339604629729
Socio-sms graph,1d,Weighted Jaccard Similarity,4,0.09916732940227298
Socio-sms graph,1d,Weighted Jaccard Similarity,5,0.08954424507100675
Socio-sms graph,1d,Weighted Jaccard Similarity,6,0.09013103762946971
Socio-sms graph,3d,Weighted Jaccard Similarity,0,1.0
Socio-sms graph,3d,Weighted Jaccard Similarity,1,0.19518165929531173
Socio-sms graph,3d,Weighted Jaccard Similarity,2,0.14989619167960194
Socio-sms graph,3d,Weighted Jaccard Similarity,3,0.14121185139176895
Socio-sms graph,3d,Weighted Jaccard Similarity,4,0.13135408387843628
Socio-sms graph,3d,Weighted Jaccard Similarity,5,0.1312549961360986
Socio-sms graph,3d,Weighted Jaccard Similarity,6,0.10617798881062447
