Dataset name,delta_t,tau,L,Baseline MSE,Baseline AUPRC,SDModel MSE,SDModel AUPRC,SCDModel MSE,SCDModel AUPRC,SCDModel coefs,SCDOModel MSE,SCDOModel AUPRC,SCDOModel coefs
Hypertext graph,600,0.5,0.5,66.55629326047358,0.786832379898207,59.49224342315937,0.7533039639869203,67.89783743832304,0.7555506294885918,[0.88258569 0.63825424 0.19299451 0.09298167],72.10503006932176,0.7562688108095821,[0.75366052 0.60757257 0.07382041 0.33574597]
Hypertext graph,600,0.1,0.5,66.55629326047358,0.786832379898207,68.60662152498375,0.7475384851701918,63.900037055735716,0.7516317139846522,[0.51665635 0.70726343 0.19096555 0.08877222],64.18295459549776,0.751976881692093,[0.4182336  0.69029486 0.0907913  0.25650097]
Hypertext graph,1800,1,0.125,475.5903563457246,0.8530442549323602,411.43825835505857,0.8445638321261233,709.1993154697598,0.8459780847098234,[3.58087991 0.5891903  0.17590255 0.13549761],717.9354669933958,0.8478935854297434,[3.38279745 0.60433559 0.05044427 0.29789995]
Hypertext graph,1800,3,0.25,409.1229284242587,0.84340773245062,397.96434857801773,0.8412419973582563,792.2466343395644,0.8318389066159815,[4.21636695 0.47841648 0.13518255 0.09476593],814.2890585288823,0.8303359545832455,[3.95842606 0.46612783 0.03840534 0.28306601]
Hypertext graph,1800,3,0.125,475.5903563457246,0.8530442549323602,463.4318343703668,0.8511003267962958,834.0019459413357,0.8436842436452342,[4.64819474 0.4571422  0.15881553 0.08892954],860.7512971419426,0.8422932151259734,[4.38264839 0.4415423  0.04608903 0.30380611]
SFHH graph,3600,1,0.25,5262.907161526398,0.8695553733949821,4360.65351623976,0.8299863760483004,6495.181089055963,0.8541112929807395,[15.62550319  0.41075773  0.05720836  0.19048545],6894.002571093712,0.855125783060418,[17.98179202  0.47549643  0.02104172  0.22819709]
SFHH graph,3600,3,0.5,4993.175041581523,0.8112205894365776,4813.481431860846,0.7877861419625884,7477.223193295312,0.8151418742028507,[17.45553588  0.23041391  0.15885569  0.38516039],8577.082691584796,0.8148190755356862,[18.74521604  0.3741045   0.08217272  0.35819606]
SFHH graph,3600,3,0.25,5262.907161526398,0.8695553733949821,5083.340027061791,0.8549575973710826,7159.2717133376245,0.8604582160761546,[17.49778529  0.27710101  0.12075703  0.36550296],7789.5979125976155,0.8699076556764759,[20.90307933  0.43270476  0.06732499  0.25886655]
SFHH graph,3600,1,0.125,7098.515598536331,0.8818464930879755,6126.055680688899,0.8647272472083397,9726.845208704222,0.8717511615358696,[18.77984338  0.40234795  0.09535764  0.18013679],9966.407583395925,0.8765599769753825,[2.21228285e+01 4.51326322e-01 2.15370087e-02 2.96426390e-01]
SFHH graph,3600,3,0.125,7098.515598536331,0.8818464930879755,6852.546193380585,0.8708845234021201,10217.327645103847,0.8745796185199521,[19.54517033  0.31251255  0.09801377  0.34680941],10925.879271440162,0.8827934957502376,[23.29817422  0.46090164  0.05012318  0.23610274]
SFHH graph,1800,0.5,0.25,1322.4696161827367,0.8151472934070146,1138.9086007939347,0.764034020813661,1259.195099506024,0.7944289695489306,[6.48903695 0.49676691 0.07212575 0.15607219],1265.5767077006778,0.7950064567210362,[6.85083366 0.53668665 0.01732337 0.23930643]
